accountlogontype,accountrunlevel,certificateissuer,certificatesubject,comment,creator,description,execarguments,execprogrampath,hostname,name,signatureexists,signatureverified,virtualpath
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,This task will automatically upload a roaming user profile's registry hive to its network location.,Microsoft Corporation,,,,NB0008RYA,HiveUploadTask,,,\Microsoft\Windows\User Profile Service\HiveUploadTask
TASK_LOGON_GROUP,TASK_RUNLEVEL_LUA,Microsoft Windows Production PCA 2011,Microsoft Windows,Scans startup entries and raises notification to the user if there are too many startup entries.,Microsoft Corporation,The file is signed and the signature was verified.,Startupscan.dll SusRunTask,%windir%\system32\rundll32.exe,NB0008RYA,StartupAppTask,true,true,\Microsoft\Windows\Application Experience\StartupAppTask
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_HIGHEST,,,Windows keeps copies of all previously installed device driver packages from Windows Update and other sources  even after installing newer versions of drivers. This task will remove older versions of drivers that are no longer needed. The most current version of each driver package will be kept. This task will also remove state used by devices that have not been detected on this system for a long period of time.,Microsoft Corporation,,,,NB0008RYA,Plug and Play Cleanup,,,\Microsoft\Windows\Plug and Play\Plug and Play Cleanup
TASK_LOGON_GROUP,TASK_RUNLEVEL_HIGHEST,Microsoft Windows Production PCA 2011,Microsoft Windows,Maintenance task used by the system to launch a silent auto disk cleanup when running low on free disk space.,Microsoft Corporation,The file is signed and the signature was verified.,/autoclean /d %systemdrive%,%windir%\system32\cleanmgr.exe,NB0008RYA,SilentCleanup,true,true,\Microsoft\Windows\DiskCleanup\SilentCleanup
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,This task gathers information about the Trusted Platform Module (TPM)  Secure Boot  and Measured Boot.,Microsoft Corporation,,,,NB0008RYA,Sqm-Tasks,,,\Microsoft\Windows\PI\Sqm-Tasks
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Production PCA 2011,Microsoft Windows,Converts the software restriction policies policy from XML into binary format.,Microsoft Corporation,The file is signed and the signature was verified.,,%windir%\system32\appidpolicyconverter.exe,NB0008RYA,PolicyConverter,true,true,\Microsoft\Windows\AppID\PolicyConverter
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Production PCA 2011,Microsoft Windows,,The major version number of the operating system.,The file is signed and the signature was verified.,/B /nologo %systemroot%\system32\calluxxprovider.vbs $(Arg0) $(Arg1) $(Arg2),%systemroot%\system32\cscript.exe,NB0008RYA,CleanupOldPerfLogs,true,true,\Microsoft\Windows\Server Manager\CleanupOldPerfLogs
TASK_LOGON_GROUP,TASK_RUNLEVEL_HIGHEST,,,The Windows Diagnostic Infrastructure Resolution host enables interactive resolutions for system problems detected by the Diagnostic Policy Service. It is triggered when necessary by the Diagnostic Policy Service in the appropriate user session. If the Diagnostic Policy Service is not running  the task will not run,Microsoft Corporation,,,,NB0008RYA,ResolutionHost,,,\Microsoft\Windows\WDI\ResolutionHost
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Production PCA 2011,Microsoft Windows,This task downloads settings for Windows Updates.,Microsoft Corporation,The file is signed and the signature was verified.,RefreshSettings,%systemroot%\system32\usoclient.exe,NB0008RYA,Refresh Settings,true,true,\Microsoft\Windows\UpdateOrchestrator\Refresh Settings
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,This task requests a Health Attestation Certificate.,Microsoft Corporation,,,,NB0008RYA,Tpm-HASCertRetr,,,\Microsoft\Windows\TPM\Tpm-HASCertRetr
TASK_LOGON_GROUP,TASK_RUNLEVEL_LUA,,,This task controls periodic background synchronization of Offline Files when the user is working in an offline mode.,Microsoft Corporation,,,,NB0008RYA,Background Synchronization,,,\Microsoft\Windows\Offline Files\Background Synchronization
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,Keeps the search index up to date,Microsoft Corporation,,,,NB0008RYA,IndexerAutomaticMaintenance,,,\Microsoft\Windows\Shell\IndexerAutomaticMaintenance
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,DigiCert High Assurance Code Signing CA-1,AVAST Software s.r.o.,,Avast Emergency Update,The file is signed and the signature was verified.,,C:\Program Files\AVAST Software\Avast\AvEmUpdate.exe,NB0008RYA,Avast Emergency Update,true,true,\Avast Emergency Update
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_HIGHEST,,,Scans fault-tolerant volumes for fast crash recovery,Microsoft Corporation,,,,NB0008RYA,Data Integrity Scan for Crash Recovery,,,\Microsoft\Windows\Data Integrity Scan\Data Integrity Scan for Crash Recovery
TASK_LOGON_GROUP,TASK_RUNLEVEL_LUA,,,,,,,,NB0008RYA,BackupTask,,,\Microsoft\Windows\SettingSync\BackupTask
TASK_LOGON_GROUP,TASK_RUNLEVEL_LUA,,,This task shows various Map related toasts,Microsoft Corporation,,,,NB0008RYA,MapsToastTask,,,\Microsoft\Windows\Maps\MapsToastTask
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,Certificate Services Client automatically manages digital identities such as Certificates  Keys and Credentials for the users and the machine  enabling enrollment  roaming and other services.,Microsoft Corporation,,,,NB0008RYA,SystemTask,,,\Microsoft\Windows\CertificateServicesClient\SystemTask
TASK_LOGON_GROUP,TASK_RUNLEVEL_LUA,,,Runs a task as the interactive user.,Microsoft Corporation,,,,NB0008RYA,Interactive,,,\Microsoft\Windows\Task Manager\Interactive
TASK_LOGON_GROUP,TASK_RUNLEVEL_LUA,,,Wininet Cache Task,Microsoft,,,,NB0008RYA,CacheTask,,,\Microsoft\Windows\Wininet\CacheTask
TASK_LOGON_GROUP,TASK_RUNLEVEL_HIGHEST,,,,,,,,NB0008RYA,StorageSense,,,\Microsoft\Windows\DiskFootprint\StorageSense
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,This task restarts the Software Protection Platform service when a new network is detected,Microsoft Corporation,,,,NB0008RYA,SvcRestartTaskNetwork,,,\Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTaskNetwork
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Production PCA 2011,Microsoft Windows,This boot task launches the SIH client to finish executing healing actions to fix the system components vital to automatic updating of Windows and Microsoft software installed on the machine.  It is enabled only when the daily SIH client task fails to complete execution of applicable healing actions.  This boot task never goes online and does not evaluate applicability of healing actions.,Microsoft Corporation.,The file is signed and the signature was verified.,/boot,%systemroot%\System32\sihclient.exe,NB0008RYA,sihboot,true,true,\Microsoft\Windows\WindowsUpdate\sihboot
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,This task updates the Secure Boot variables.,Microsoft Corporation,,,,NB0008RYA,Secure-Boot-Update,,,\Microsoft\Windows\PI\Secure-Boot-Update
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_HIGHEST,Microsoft Windows Production PCA 2011,Microsoft Windows,Optimizes the placement of data in storage tiers on all tiered storage spaces in the system.,Microsoft Corporation,The file is signed and the signature was verified.,-c -h -g -# -m 8 -i 13500,%windir%\system32\defrag.exe,NB0008RYA,Storage Tiers Optimization,true,true,\Microsoft\Windows\Storage Tiers Management\Storage Tiers Optimization
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_HIGHEST,,,Deletes previous Windows installation files a few days after installation.,,,,,NB0008RYA,SetupCleanupTask,,,\Microsoft\Windows\Setup\SetupCleanupTask
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Production PCA 2011,Microsoft Windows,,,The file is signed and the signature was verified.,StartInstall,%systemroot%\system32\usoclient.exe,NB0008RYA,Policy Install,true,true,\Microsoft\Windows\UpdateOrchestrator\Policy Install
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_HIGHEST,Microsoft Windows Production PCA 2011,Microsoft Windows,Windows Error Reporting task to process queued reports.,Microsoft Corporation,The file is signed and the signature was verified.,-upload,%windir%\system32\wermgr.exe,NB0008RYA,QueueReporting,true,true,\Microsoft\Windows\Windows Error Reporting\QueueReporting
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_HIGHEST,,,This task performs time synchronization.,Microsoft Corporation,,,,NB0008RYA,ForceSynchronizeTime,,,\Microsoft\Windows\Time Synchronization\ForceSynchronizeTime
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Production PCA 2011,Microsoft Windows,Windows Store legacy license migration task,Microsoft Corporation,The file is signed and the signature was verified.,-p -s -o,%SystemRoot%\system32\ClipUp.exe,NB0008RYA,License Validation,true,true,\Microsoft\Windows\Clip\License Validation
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,This task restarts the Software Protection Platform service at the specified time,Microsoft Corporation,,,,NB0008RYA,SvcRestartTask,,,\Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTask
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Production PCA 2011,Microsoft Windows,This task is used to start the Windows Update service when needed to perform scheduled operations such as scans.,Microsoft Corporation.,The file is signed and the signature was verified.,start wuauserv,C:\Windows\system32\sc.exe,NB0008RYA,Scheduled Start,true,true,\Microsoft\Windows\WindowsUpdate\Scheduled Start
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_HIGHEST,Microsoft Windows Production PCA 2011,Microsoft Windows,,,The file is signed and the signature was verified.,/d /c %systemroot%\system32\silcollector.cmd configure,%systemroot%\system32\cmd.exe,NB0008RYA,Configuration,true,true,\Microsoft\Windows\Software Inventory Logging\Configuration
TASK_LOGON_GROUP,TASK_RUNLEVEL_HIGHEST,,,Schedules a memory diagnostic in response to system events.,Microsoft Corporation,,,,NB0008RYA,ProcessMemoryDiagnosticEvents,,,\Microsoft\Windows\MemoryDiagnostic\ProcessMemoryDiagnosticEvents
TASK_LOGON_GROUP,TASK_RUNLEVEL_LUA,,,Updates the AD RMS rights policy templates for the user. This job does not provide a credential prompt if authentication to the template distribution web service on the server fails. In this case  it fails silently.,Microsoft Corporation,,,,NB0008RYA,AD RMS Rights Policy Template Management (Automated),,,\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Automated)
TASK_LOGON_GROUP,TASK_RUNLEVEL_LUA,Microsoft Windows Production PCA 2011,Microsoft Windows,Location Notification,,The file is signed and the signature was verified.,,%windir%\System32\LocationNotificationWindows.exe,NB0008RYA,Notifications,true,true,\Microsoft\Windows\Location\Notifications
TASK_LOGON_GROUP,TASK_RUNLEVEL_LUA,,,This task restarts the Software Protection Platform service when user logon occurs,Microsoft Corporation,,,,NB0008RYA,SvcRestartTaskLogon,,,\Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTaskLogon
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Production PCA 2011,Microsoft Windows,,,The file is signed and the signature was verified.,StartInstall,%systemroot%\system32\usoclient.exe,NB0008RYA,Maintenance Install,true,true,\Microsoft\Windows\UpdateOrchestrator\Maintenance Install
TASK_LOGON_GROUP,TASK_RUNLEVEL_HIGHEST,Microsoft Windows Production PCA 2011,Microsoft Windows,The Microsoft-Windows-DiskDiagnosticResolver warns users about faults reported by hard disks that support the Self Monitoring and Reporting Technology (S.M.A.R.T.) standard. This task is triggered automatically by the Diagnostic Policy Service when a S.M.A.R.T. fault is detected.,Microsoft Corporation,The file is signed and the signature was verified.,,%windir%\system32\DFDWiz.exe,NB0008RYA,Microsoft-Windows-DiskDiagnosticResolver,true,true,\Microsoft\Windows\DiskDiagnostic\Microsoft-Windows-DiskDiagnosticResolver
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Production PCA 2011,Microsoft Windows,,The major version number of the operating system.,The file is signed and the signature was verified.,"%systemroot%\system32\pla.dll PlaHost ""Server Manager Performance Monitor"" ""$(Arg0)""",%systemroot%\system32\rundll32.exe,NB0008RYA,Server Manager Performance Monitor,true,true,\Microsoft\Windows\PLA\Server Manager Performance Monitor
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_HIGHEST,Microsoft Windows Production PCA 2011,Microsoft Windows,Launch language cleanup tool,Microsoft Corporation,The file is signed and the signature was verified.,,%windir%\system32\lpremove.exe,NB0008RYA,LPRemove,true,true,\Microsoft\Windows\MUI\LPRemove
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,Set UPnPHost service to Auto-Start,Microsoft,,config upnphost start= auto,sc.exe,NB0008RYA,UPnPHostConfig,,,\Microsoft\Windows\UPnP\UPnPHostConfig
TASK_LOGON_GROUP,TASK_RUNLEVEL_LUA,,,Automatically updates the user's Windows store applications.,Microsoft Corporation,,,,NB0008RYA,Automatic App Update,,,\Microsoft\Windows\WindowsUpdate\Automatic App Update
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Production PCA 2011,Microsoft Windows,This task triggers a system reboot following update installation.,Microsoft Corporation,The file is signed and the signature was verified.,,%systemroot%\system32\MusNotification.exe,NB0008RYA,Reboot,true,true,\Microsoft\Windows\UpdateOrchestrator\Reboot
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_HIGHEST,Microsoft Windows Production PCA 2011,Microsoft Windows,,,The file is signed and the signature was verified.,-z,%windir%\system32\disksnapshot.exe,NB0008RYA,Diagnostics,true,true,\Microsoft\Windows\DiskFootprint\Diagnostics
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Production PCA 2011,Microsoft Windows,This daily task launches the SIH client (server-initiated healing) to detect and fix system components that are vital to automatic updating of Windows and Microsoft software installed on the machine.  This task can go online  evaluate applicability of healing actions  download necessary payloads to execute the actions  and execute healing actions.,Microsoft Corporation.,The file is signed and the signature was verified.,,%systemroot%\System32\sihclient.exe,NB0008RYA,sih,true,true,\Microsoft\Windows\WindowsUpdate\sih
TASK_LOGON_GROUP,TASK_RUNLEVEL_LUA,,,,,,,,NB0008RYA,BackgroundUploadTask,,,\Microsoft\Windows\SettingSync\BackgroundUploadTask
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Production PCA 2011,Microsoft Windows,This task performs a scheduled Windows Update scan.,Microsoft Corporation,The file is signed and the signature was verified.,StartScan,%systemroot%\system32\usoclient.exe,NB0008RYA,Schedule Scan,true,true,\Microsoft\Windows\UpdateOrchestrator\Schedule Scan
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_HIGHEST,,,Initializes the Storage Tiers Management service when the first tiered storage space is detected on the system. Do not remove or modify this task.,Microsoft Corporation,,,,NB0008RYA,Storage Tiers Management Initialization,,,\Microsoft\Windows\Storage Tiers Management\Storage Tiers Management Initialization
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Production PCA 2011,Microsoft Windows,The Windows Disk Diagnostic reports general disk and system information to Microsoft for users participating in the Customer Experience Program.,Microsoft Corporation,The file is signed and the signature was verified.,dfdts.dll DfdGetDefaultPolicyAndSMART,%windir%\system32\rundll32.exe,NB0008RYA,Microsoft-Windows-DiskDiagnosticDataCollector,true,true,\Microsoft\Windows\DiskDiagnostic\Microsoft-Windows-DiskDiagnosticDataCollector
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,This task updates the Secure Boot variables.,Microsoft Corporation,,,,NL0000AHL,Secure-Boot-Update,,,\Microsoft\Windows\PI\Secure-Boot-Update
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,This task supports the Trusted Platform Module (TPM) by performing background actions on behalf of the OS.,Microsoft Corporation,,,,NL0000AHL,Tpm-Maintenance,,,\Microsoft\Windows\TPM\Tpm-Maintenance
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_HIGHEST,Microsoft Windows Production PCA 2011,Microsoft Windows,Periodic verification task.,,The file is signed and the signature was verified.,-IdleTask -TaskName WdVerification,%ProgramFiles%\Windows Defender\MpCmdRun.exe,NL0000AHL,Windows Defender Verification,true,true,\Microsoft\Windows\Windows Defender\Windows Defender Verification
TASK_LOGON_GROUP,TASK_RUNLEVEL_HIGHEST,,,,,,,,NL0000AHL,StorageSense,,,\Microsoft\Windows\DiskFootprint\StorageSense
TASK_LOGON_GROUP,TASK_RUNLEVEL_HIGHEST,,,Detects and mitigates problems in physical memory (RAM).,Microsoft Corporation,,,,NL0000AHL,RunFullMemoryDiagnostic,,,\Microsoft\Windows\MemoryDiagnostic\RunFullMemoryDiagnostic
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,This task restarts the Software Protection Platform service at the specified time,Microsoft Corporation,,,,NL0000AHL,SvcRestartTask,,,\Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTask
TASK_LOGON_GROUP,TASK_RUNLEVEL_HIGHEST,,,Displays a dialog box that asks the user to restart Windows if it is required to complete installation of a device,Microsoft Corporation,,,,NL0000AHL,Device Install Reboot Required,,,\Microsoft\Windows\Plug and Play\Device Install Reboot Required
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Production PCA 2011,Microsoft Windows,Performs maintenance for the Data Sharing Service.,Microsoft Corporation,The file is signed and the signature was verified.,,%windir%\system32\dstokenclean.exe,NL0000AHL,DsSvcCleanup,true,true,\Microsoft\Windows\ApplicationData\DsSvcCleanup
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_HIGHEST,Microsoft Windows Production PCA 2011,Microsoft Windows,Storage Spaces Settings,Microsoft Corporation,The file is signed and the signature was verified.,,%windir%\system32\SpaceAgent.exe,NL0000AHL,SpaceAgentTask,true,true,\Microsoft\Windows\SpacePort\SpaceAgentTask
TASK_LOGON_GROUP,TASK_RUNLEVEL_HIGHEST,,,The Windows Diagnostic Infrastructure Resolution host enables interactive resolutions for system problems detected by the Diagnostic Policy Service. It is triggered when necessary by the Diagnostic Policy Service in the appropriate user session. If the Diagnostic Policy Service is not running  the task will not run,Microsoft Corporation,,,,NL0000AHL,ResolutionHost,,,\Microsoft\Windows\WDI\ResolutionHost
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,Keeps the search index up to date,Microsoft Corporation,,,,NL0000AHL,IndexerAutomaticMaintenance,,,\Microsoft\Windows\Shell\IndexerAutomaticMaintenance
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Production PCA 2011,Microsoft Windows,Inspects the AppID certificate cache for invalid or revoked certificates.,Microsoft Corporation,The file is signed and the signature was verified.,,%windir%\system32\appidcertstorecheck.exe,NL0000AHL,VerifiedPublisherCertStoreCheck,true,true,\Microsoft\Windows\AppID\VerifiedPublisherCertStoreCheck
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Production PCA 2011,Microsoft Windows,Mobile Broadband Account Experience Metadata Parser,Microsoft,The file is signed and the signature was verified.,,%SystemRoot%\System32\MbaeParserTask.exe,NL0000AHL,MNO Metadata Parser,true,true,\Microsoft\Windows\Mobile Broadband Accounts\MNO Metadata Parser
TASK_LOGON_GROUP,TASK_RUNLEVEL_HIGHEST,,,The Windows Scheduled Maintenance Task performs periodic maintenance of the computer system by fixing problems automatically or reporting them through Security and Maintenance.,Microsoft Corporation,,,,NL0000AHL,Scheduled,,,\Microsoft\Windows\Diagnosis\Scheduled
TASK_LOGON_GROUP,TASK_RUNLEVEL_LUA,Microsoft Windows Production PCA 2011,Microsoft Windows,Location Notification,,The file is signed and the signature was verified.,,%windir%\System32\LocationNotificationWindows.exe,NL0000AHL,Notifications,true,true,\Microsoft\Windows\Location\Notifications
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,,,,,,NL0000AHL,.NET Framework NGEN v4.0.30319 Critical,,,\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 Critical
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,Set UPnPHost service to Auto-Start,Microsoft,,config upnphost start= auto,sc.exe,NL0000AHL,UPnPHostConfig,,,\Microsoft\Windows\UPnP\UPnPHostConfig
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,,,,,,NL0000AHL,CreateObjectTask,,,\Microsoft\Windows\CloudExperienceHost\CreateObjectTask
TASK_LOGON_GROUP,TASK_RUNLEVEL_HIGHEST,Microsoft Windows Production PCA 2011,Microsoft Windows,Maintenance task used by the system to launch a silent auto disk cleanup when running low on free disk space.,Microsoft Corporation,The file is signed and the signature was verified.,/autoclean /d %systemdrive%,%windir%\system32\cleanmgr.exe,NL0000AHL,SilentCleanup,true,true,\Microsoft\Windows\DiskCleanup\SilentCleanup
TASK_LOGON_GROUP,TASK_RUNLEVEL_HIGHEST,,,Schedules a memory diagnostic in response to system events.,Microsoft Corporation,,,,NL0000AHL,ProcessMemoryDiagnosticEvents,,,\Microsoft\Windows\MemoryDiagnostic\ProcessMemoryDiagnosticEvents
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,This task requests a Health Attestation Certificate.,Microsoft Corporation,,,,NL0000AHL,Tpm-HASCertRetr,,,\Microsoft\Windows\TPM\Tpm-HASCertRetr
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Production PCA 2011,Microsoft Windows,,,The file is signed and the signature was verified.,StartInstall,%systemroot%\system32\usoclient.exe,NL0000AHL,Maintenance Install,true,true,\Microsoft\Windows\UpdateOrchestrator\Maintenance Install
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Production PCA 2011,Microsoft Windows,,,The file is signed and the signature was verified.,Display,%systemroot%\system32\MusNotification.exe,NL0000AHL,USO_UxBroker_Display,true,true,\Microsoft\Windows\UpdateOrchestrator\USO_UxBroker_Display
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Production PCA 2011,Microsoft Windows,,,The file is signed and the signature was verified.,/d /c %systemroot%\system32\silcollector.cmd publish,%systemroot%\system32\cmd.exe,NL0000AHL,Collection,true,true,\Microsoft\Windows\Software Inventory Logging\Collection
TASK_LOGON_GROUP,TASK_RUNLEVEL_LUA,,,Certificate Services Client automatically manages digital identities such as Certificates  Keys and Credentials for the users and the machine  enabling enrollment  roaming and other services.,Microsoft Corporation,,,,NL0000AHL,UserTask-Roam,,,\Microsoft\Windows\CertificateServicesClient\UserTask-Roam
TASK_LOGON_GROUP,TASK_RUNLEVEL_LUA,,,Wininet Cache Task,Microsoft,,,,NL0000AHL,CacheTask,,,\Microsoft\Windows\Wininet\CacheTask
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,The USB CEIP (Customer Experience Improvement Program) task collects Universal Serial Bus related statistics and information about your machine and sends it to the Windows Device Connectivity engineering group at Microsoft.  The information received is used to help improve the reliability  stability  and overall functionality of USB in Windows.  If the user has not consented to participate in Windows CEIP  this task does not do anything.,Microsoft Corporation,,,,NL0000AHL,UsbCeip,,,\Microsoft\Windows\Customer Experience Improvement Program\UsbCeip
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Production PCA 2011,Microsoft Windows,,,The file is signed and the signature was verified.,ResumeUpdate,%systemroot%\system32\usoclient.exe,NL0000AHL,Resume On Boot,true,true,\Microsoft\Windows\UpdateOrchestrator\Resume On Boot
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,Registry Idle Backup Task,Microsoft Corporation,,,,NL0000AHL,RegIdleBackup,,,\Microsoft\Windows\Registry\RegIdleBackup
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Production PCA 2011,Microsoft Windows,,The major version number of the operating system.,The file is signed and the signature was verified.,"%systemroot%\system32\pla.dll PlaHost ""Server Manager Performance Monitor"" ""$(Arg0)""",%systemroot%\system32\rundll32.exe,NL0000AHL,Server Manager Performance Monitor,true,true,\Microsoft\Windows\PLA\Server Manager Performance Monitor
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_HIGHEST,,,Scans fault-tolerant volumes for fast crash recovery,Microsoft Corporation,,,,NL0000AHL,Data Integrity Scan for Crash Recovery,,,\Microsoft\Windows\Data Integrity Scan\Data Integrity Scan for Crash Recovery
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,Provides support for shell components that access system data,Microsoft Corporation,,,,NL0000AHL,CreateObjectTask,,,\Microsoft\Windows\Shell\CreateObjectTask
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Production PCA 2011,Microsoft Windows,,,The file is signed and the signature was verified.,ReadyToReboot,%systemroot%\system32\MusNotification.exe,NL0000AHL,USO_UxBroker_ReadyToReboot,true,true,\Microsoft\Windows\UpdateOrchestrator\USO_UxBroker_ReadyToReboot
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,This task restarts the Software Protection Platform service when a new network is detected,Microsoft Corporation,,,,NL0000AHL,SvcRestartTaskNetwork,,,\Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTaskNetwork
TASK_LOGON_GROUP,TASK_RUNLEVEL_LUA,,,Certificate Services Client automatically manages digital identities such as Certificates  Keys and Credentials for the users and the machine  enabling enrollment  roaming and other services.,Microsoft Corporation,,,,NL0000AHL,UserTask,,,\Microsoft\Windows\CertificateServicesClient\UserTask
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,This task gathers information about the Trusted Platform Module (TPM)  Secure Boot  and Measured Boot.,Microsoft Corporation,,,,NL0000AHL,Sqm-Tasks,,,\Microsoft\Windows\PI\Sqm-Tasks
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_HIGHEST,Microsoft Windows Production PCA 2011,Microsoft Windows,$(@%SystemRoot%\system32\spaceman.exe -3),$(@%SystemRoot%\system32\spaceman.exe -2),The file is signed and the signature was verified.,/Work,%windir%\system32\spaceman.exe,NL0000AHL,SpaceManagerTask,true,true,\Microsoft\Windows\SpacePort\SpaceManagerTask
TASK_LOGON_GROUP,TASK_RUNLEVEL_HIGHEST,,,Measures a system's performance and capabilities,Microsoft,,,,NL0000AHL,WinSAT,,,\Microsoft\Windows\Maintenance\WinSAT
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Production PCA 2011,Microsoft Windows,Collects program telemetry information if opted-in to the Microsoft Customer Experience Improvement Program.,Microsoft Corporation,The file is signed and the signature was verified.,,%windir%\system32\compattelrunner.exe,NL0000AHL,Microsoft Compatibility Appraiser,true,true,\Microsoft\Windows\Application Experience\Microsoft Compatibility Appraiser
TASK_LOGON_GROUP,TASK_RUNLEVEL_LUA,,,System Sounds User Mode Agent,,,,,NL0000AHL,SystemSoundsService,,,\Microsoft\Windows\Multimedia\SystemSoundsService
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Production PCA 2011,Microsoft Windows,If the user has consented to participate in the Windows Customer Experience Improvement Program  this job collects and sends usage data to Microsoft.,Microsoft Corporation,The file is signed and the signature was verified.,,%SystemRoot%\System32\wsqmcons.exe,NL0000AHL,Consolidator,true,true,\Microsoft\Windows\Customer Experience Improvement Program\Consolidator
